[26.04.2017 | 21:54:36] Pos: 707.5, -1643.8, 70.1 | OldPos: 741.1, -1652.7 | OldOldPos: 771.1, -1660.8 | PlayerLevel: 1 | Name: Bacya_Kotov | Ping: 122 | Warnings: 3
[26.04.2017 | 21:58:08] Pos: -2460.7, 1851.9, 2774.3 | OldPos: -893.2, -2090.9 | OldOldPos: -893.3, -2091.2 | PlayerLevel: 1 | Name: Ernesto_Cook | Ping: 97 | Warnings: 0
[26.04.2017 | 22:23:41] Pos: 909.4, -1869.2, 1.0 | OldPos: 838.6, -1872.5 | OldOldPos: 821.8, -1873.2 | PlayerLevel: 1 | Name: Artem_Winchester | Ping: 67 | Warnings: 0
[26.04.2017 | 23:20:03] Pos: -1526.0, -746.0, 57.0 | OldPos: -1505.7, -774.1 | OldOldPos: -1493.9, -792.2 | PlayerLevel: 1 | Name: Hasan_Livingstone | Ping: 92 | Warnings: 0
[27.04.2017 | 00:58:55] Pos: 1430.2, -1756.6, 13.5 | OldPos: 1460.4, -1774.6 | OldOldPos: 1460.4, -1774.6 | PlayerLevel: 1 | Name: Sasha_Svetlakov | Ping: 87 | Warnings: 0
[27.04.2017 | 03:12:38] Pos: 1980.0, 216.4, 1501.0 | OldPos: 1061.7, 282.1 | OldOldPos: 1061.7, 282.1 | PlayerLevel: 5 | Name: Denis_Skif | Ping: 97 | Warnings: 0
[27.04.2017 | 07:30:16] Pos: 1827.3, -1972.7, 27.7 | OldPos: 1806.5, -1950.8 | OldOldPos: 1792.2, -1935.0 | PlayerLevel: 1 | Name: Maks_Vano | Ping: 73 | Warnings: 0
[27.04.2017 | 07:38:38] Pos: -822.3, -2106.0, 1574.7 | OldPos: -850.1, -2081.2 | OldOldPos: -879.9, -2089.2 | PlayerLevel: 1 | Name: Matthew_Mayfield | Ping: 118 | Warnings: 3
[27.04.2017 | 08:44:45] Pos: -995.0, -1240.1, 129.1 | OldPos: -1028.9, -1222.2 | OldOldPos: -1034.0, -1219.5 | PlayerLevel: 1 | Name: Vlad_Rakeloff | Ping: 62 | Warnings: 0
[27.04.2017 | 09:05:03] Pos: 1850.6, -1915.2, 20.4 | OldPos: 1814.9, -1908.4 | OldOldPos: 1787.0, -1898.8 | PlayerLevel: 1 | Name: Gamadrila_Borzelli | Ping: 61 | Warnings: 0
[27.04.2017 | 12:48:37] Pos: 1851.8, -1892.6, 38.0 | OldPos: 1821.0, -1892.5 | OldOldPos: 1809.8, -1894.2 | PlayerLevel: 1 | Name: Valentyn_Dymnich | Ping: 57 | Warnings: 0
[27.04.2017 | 12:52:32] Pos: 2230.9, -2284.0, 14.3 | OldPos: 2189.5, -2264.4 | OldOldPos: 2189.5, -2264.4 | PlayerLevel: 1 | Name: Kurt_Yoshida | Ping: 98 | Warnings: 0
[27.04.2017 | 13:09:57] Pos: 1832.8, -1542.5, 24.1 | OldPos: 1836.6, -1510.5 | OldOldPos: 1838.8, -1487.0 | PlayerLevel: 1 | Name: Ilya_Strelnikov | Ping: 72 | Warnings: 0
[27.04.2017 | 14:43:42] Pos: 1820.0, -1834.6, 13.4 | OldPos: 1818.3, -1798.9 | OldOldPos: 1814.7, -1719.6 | PlayerLevel: 3 | Name: Matilbda_Medvedev | Ping: 119 | Warnings: 3
[27.04.2017 | 15:10:58] Pos: 345.6, 1780.2, 17.6 | OldPos: 337.5, 1749.7 | OldOldPos: 337.5, 1749.6 | PlayerLevel: 1 | Name: Alex_Panamky | Ping: 68 | Warnings: 0
[27.04.2017 | 15:27:15] Pos: -1025.0, -1305.2, 129.8 | OldPos: -1013.8, -1268.7 | OldOldPos: -1013.8, -1268.7 | PlayerLevel: 1 | Name: Yuri_Frost | Ping: 90 | Warnings: 0
[27.04.2017 | 15:28:50] Pos: 608.1, -1872.4, 6.9 | OldPos: 590.6, -1836.9 | OldOldPos: 590.6, -1837.0 | PlayerLevel: 1 | Name: FoJ_fiay | Ping: 69 | Warnings: 0
[27.04.2017 | 15:43:28] Pos: 1813.8, -1831.0, 23.0 | OldPos: 1811.2, -1861.0 | OldOldPos: 1813.2, -1878.1 | PlayerLevel: 1 | Name: Danil_Tatarov | Ping: 79 | Warnings: 0
[27.04.2017 | 16:07:51] Pos: 1052.8, -1760.2, 13.7 | OldPos: 1084.3, -1759.0 | OldOldPos: 1084.3, -1759.0 | PlayerLevel: 1 | Name: Yuri_Frost | Ping: 87 | Warnings: 0
[27.04.2017 | 16:23:47] Pos: 1811.4, -1905.6, 17.2 | OldPos: 1774.3, -1896.7 | OldOldPos: 1774.3, -1896.7 | PlayerLevel: 1 | Name: Lil_Kostikell | Ping: 67 | Warnings: 0
[27.04.2017 | 16:51:25] Pos: 1543.9, -1617.3, 13.3 | OldPos: 1524.9, -1694.4 | OldOldPos: 1524.9, -1694.4 | PlayerLevel: 1 | Name: Giuseppe_Messeria | Ping: 96 | Warnings: 0
[27.04.2017 | 16:53:20] Pos: 1941.9, -1882.9, 13.5 | OldPos: 1844.2, -1882.6 | OldOldPos: 1844.2, -1882.6 | PlayerLevel: 3 | Name: Diego_Coyote | Ping: 92 | Warnings: 0
[27.04.2017 | 17:47:18] Pos: -1879.9, -92.1, 34.8 | OldPos: -1969.4, -47.5 | OldOldPos: -1969.4, -47.5 | PlayerLevel: 1 | Name: Leonardo_Moretti | Ping: 79 | Warnings: 0
[27.04.2017 | 17:47:39] Pos: 1514.1, -1882.7, 33.2 | OldPos: 1675.3, -1866.2 | OldOldPos: 1675.3, -1866.2 | PlayerLevel: 1 | Name: Teranit_Giseiner | Ping: 90 | Warnings: 0
[27.04.2017 | 18:04:51] Pos: -828.0, -2094.4, 1610.0 | OldPos: -863.3, -2090.6 | OldOldPos: -887.2, -2087.8 | PlayerLevel: 1 | Name: Chris_Abilona | Ping: 96 | Warnings: 0
[27.04.2017 | 18:09:37] Pos: -838.1, -2092.1, 1609.3 | OldPos: -1668.0, -536.8 | OldOldPos: -1668.0, -536.8 | PlayerLevel: 5 | Name: Frederico_Smail | Ping: 64 | Warnings: 0
[27.04.2017 | 18:34:09] Pos: 2173.7, -2250.5, 13.3 | OldPos: 2230.3, -2285.9 | OldOldPos: -2071.9, -1875.6 | PlayerLevel: 1 | Name: Zek_Par | Ping: 145 | Warnings: 3
[27.04.2017 | 18:38:32] Pos: -1394.1, 987.6, 1023.9 | OldPos: -1547.4, 503.7 | OldOldPos: -1547.4, 503.7 | PlayerLevel: 13 | Name: Hershel_Reddington | Ping: 70 | Warnings: 0
