[26.04.2017 | 21:55:36] Pos: -81.5, -1500.9, 2.8 | OldPos: -15.4, -1516.3 | OldOldPos: -15.4, -1516.3 | PlayerLevel: 2 | Name: Alexsander_Glinov | Ping: 84 | Warnings: 0
[26.04.2017 | 21:55:41] Pos: -149.1, -1354.7, 2.6 | OldPos: -147.6, -1402.7 | OldOldPos: -146.4, -1410.6 | PlayerLevel: 2 | Name: Alexsander_Glinov | Ping: 84 | Warnings: 0
[26.04.2017 | 22:10:45] Pos: 2603.4, 1815.1, 10.5 | OldPos: -2936.2, 1213.5 | OldOldPos: -2936.2, 1213.5 | PlayerLevel: 3 | Name: Vlad_Vladislavovich | Ping: 63 | Warnings: 0
[26.04.2017 | 22:19:05] Pos: 1704.3, -663.8, 43.3 | OldPos: 1698.6, -706.5 | OldOldPos: 1697.8, -710.7 | PlayerLevel: 3 | Name: Lexa_Kostantinov | Ping: 68 | Warnings: 0
[26.04.2017 | 22:21:07] Pos: 1118.2, 1193.8, 10.6 | OldPos: 1158.6, 1193.9 | OldOldPos: 1169.6, 1193.9 | PlayerLevel: 3 | Name: Lexa_Kostantinov | Ping: 78 | Warnings: 0
[26.04.2017 | 22:21:47] Pos: 386.9, 1267.8, 10.6 | OldPos: 489.7, 1259.8 | OldOldPos: 489.7, 1259.8 | PlayerLevel: 3 | Name: Lexa_Kostantinov | Ping: 62 | Warnings: 0
[26.04.2017 | 22:48:14] Pos: -2086.9, -141.7, 35.0 | OldPos: -2076.8, -199.4 | OldOldPos: -2076.8, -199.4 | PlayerLevel: 2 | Name: egor_sivak | Ping: 52 | Warnings: 0
[26.04.2017 | 22:48:14] Pos: -2086.9, -141.7, 35.0 | OldPos: -2076.8, -199.0 | OldOldPos: -2076.8, -199.4 | PlayerLevel: 3 | Name: Dan_Vinsent | Ping: 67 | Warnings: 0
[26.04.2017 | 23:08:12] Pos: 1430.4, -1611.6, 13.1 | OldPos: 1431.7, -1652.6 | OldOldPos: 1431.7, -1654.6 | PlayerLevel: 3 | Name: Karen_Jaminko | Ping: 77 | Warnings: 0
[26.04.2017 | 23:13:10] Pos: -1942.2, -69.8, 25.9 | OldPos: -2004.5, -69.4 | OldOldPos: -2004.5, -69.4 | PlayerLevel: 1 | Name: kaxa_sirko | Ping: 88 | Warnings: 0
[26.04.2017 | 23:13:26] Pos: -1808.5, -364.6, 19.1 | OldPos: -1802.3, -280.3 | OldOldPos: -1802.3, -280.3 | PlayerLevel: 1 | Name: kaxa_sirko | Ping: 88 | Warnings: 0
[26.04.2017 | 23:15:40] Pos: -277.8, -884.7, 45.7 | OldPos: -431.0, -839.4 | OldOldPos: -431.0, -839.4 | PlayerLevel: 1 | Name: kaxa_sirko | Ping: 88 | Warnings: 0
[26.04.2017 | 23:15:46] Pos: -104.6, -1017.1, 24.1 | OldPos: -130.3, -984.5 | OldOldPos: -130.3, -984.5 | PlayerLevel: 1 | Name: kaxa_sirko | Ping: 92 | Warnings: 0
[26.04.2017 | 23:16:26] Pos: 799.0, -1781.3, 13.4 | OldPos: 755.5, -1775.8 | OldOldPos: 755.5, -1775.8 | PlayerLevel: 1 | Name: kaxa_sirko | Ping: 88 | Warnings: 0
[26.04.2017 | 23:20:53] Pos: 810.3, -1775.7, 13.3 | OldPos: 865.6, -1771.9 | OldOldPos: 865.6, -1771.9 | PlayerLevel: 3 | Name: Forrest_Gump | Ping: 88 | Warnings: 0
[26.04.2017 | 23:23:11] Pos: 1364.0, -1392.7, 13.5 | OldPos: 1412.1, -1394.3 | OldOldPos: 1412.1, -1394.3 | PlayerLevel: 2 | Name: Anna_Crosstown | Ping: 62 | Warnings: 0
[26.04.2017 | 23:52:12] Pos: -2086.9, -131.8, 35.0 | OldPos: -2077.0, -199.0 | OldOldPos: -2077.0, -199.3 | PlayerLevel: 2 | Name: Alexander_Vorobey | Ping: 57 | Warnings: 0
[27.04.2017 | 00:17:59] Pos: 408.8, -1704.1, 9.1 | OldPos: 464.4, -1708.8 | OldOldPos: 483.4, -1711.4 | PlayerLevel: 1 | Name: Alex_negativniy | Ping: 98 | Warnings: 0
[27.04.2017 | 00:18:26] Pos: -123.6, -1196.7, 2.7 | OldPos: -134.8, -1240.3 | OldOldPos: -134.8, -1240.3 | PlayerLevel: 1 | Name: Alex_negativniy | Ping: 97 | Warnings: 0
[27.04.2017 | 00:42:19] Pos: -2087.0, -145.7, 35.0 | OldPos: -2077.1, -198.9 | OldOldPos: -2077.1, -199.3 | PlayerLevel: 2 | Name: Alexander_Vorobey | Ping: 56 | Warnings: 0
[27.04.2017 | 04:46:11] Pos: 1277.0, -1825.6, 13.3 | OldPos: 1216.1, -1834.5 | OldOldPos: 1216.1, -1834.5 | PlayerLevel: 2 | Name: Blinchik | Ping: 62 | Warnings: 0
[27.04.2017 | 12:56:50] Pos: 724.9, -1437.9, 13.1 | OldPos: 790.3, -1510.4 | OldOldPos: 790.3, -1510.4 | PlayerLevel: 2 | Name: Zakroev_Arteom | Ping: 98 | Warnings: 0
[27.04.2017 | 15:49:59] Pos: 1112.2, -1850.0, 13.5 | OldPos: 1173.0, -1849.7 | OldOldPos: 1175.9, -1849.7 | PlayerLevel: 1 | Name: Azumy_Sato | Ping: 79 | Warnings: 0
[27.04.2017 | 17:02:49] Pos: 2116.7, 1398.1, 10.3 | OldPos: 462.9, -1748.4 | OldOldPos: 462.9, -1748.4 | PlayerLevel: 2 | Name: Nikita_Xovanskij | Ping: 70 | Warnings: 0
[27.04.2017 | 17:24:27] Pos: 1875.0, -2286.0, 14.4 | OldPos: 1407.7, -1543.8 | OldOldPos: 1407.7, -1543.8 | PlayerLevel: 3 | Name: Jack_Berns | Ping: 79 | Warnings: 0
