[27.09.2017 | 20:27:07] Position: -2551.354, 572.637, 19.937 | Velocity: -0.199, 0.030, 0.017 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:07] Position: -2551.884, 572.714, 19.983 | Velocity: -0.211, 0.030, 0.017 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:08] Position: -2556.836, 573.048, 20.278 | Velocity: -0.211, 0.010, 0.010 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:08] Position: -2557.381, 573.074, 20.304 | Velocity: -0.223, 0.010, 0.010 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:09] Position: -2562.173, 573.159, 20.482 | Velocity: -0.206, -0.011, 0.007 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:09] Position: -2562.708, 573.113, 20.500 | Velocity: -0.217, -0.021, 0.007 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:10] Position: -2567.240, 571.135, 20.828 | Velocity: -0.173, -0.115, 0.015 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:10] Position: -2567.671, 570.813, 20.864 | Velocity: -0.170, -0.135, 0.013 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:11] Position: -2565.554, 566.481, 20.771 | Velocity: 0.162, -0.129, 0.002 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:11] Position: -2565.124, 566.158, 20.778 | Velocity: 0.176, -0.129, 0.003 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:12] Position: -2560.413, 565.659, 21.314 | Velocity: 0.204, 0.001, 0.032 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:12] Position: -2559.883, 565.668, 21.404 | Velocity: 0.215, 0.004, 0.037 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:13] Position: -2555.459, 566.002, 22.700 | Velocity: 0.193, 0.010, 0.063 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
[27.09.2017 | 20:27:13] Position: -2554.956, 566.029, 22.865 | Velocity: 0.204, 0.011, 0.067 | PlayerLevel: 1 | Name: Aleksandr_Kudinov
